eta,branch,w12_ref,w21_ref,w12_pinn,w21_pinn
0.82,lower,0.05479887513118615,0.9431506572104118,0.05697082682850644,0.9430291731714534
0.82,upper,0.943026026842137,0.05437494253495638,0.943029173171453,0.05697082682850639
0.85,lower,0.08042715768395958,0.9175020449716593,0.08339820087139176,0.9166017991285678
0.85,upper,0.9172439759552098,0.07990102194740914,0.9166017991285678,0.08339820087139169
0.8799999999999999,lower,0.11980586966100863,0.8781262424326516,0.12370822784955997,0.8762917721503997
0.8799999999999999,upper,0.8777049205272757,0.11915538701759677,0.8762917721503997,0.12370822784955993
0.9099999999999999,lower,0.17957724617470702,0.8183772599375002,0.18426777545188194,0.8157322245480776
0.9099999999999999,upper,0.8177671025382001,0.17878439606440757,0.8157322245480777,0.18426777545188194
0.94,lower,0.26571736020233355,0.7322613764708495,0.27044236131744964,0.7295576386825098
0.94,upper,0.7314549384351188,0.26478208062918357,0.7295576386825098,0.2704423613174494
0.97,lower,0.37696862150711724,0.6210008029715891,0.38036985259234646,0.6196301474076131
0.97,upper,0.6200265149475289,0.37592648650178057,0.6196301474076131,0.38036985259234635
1.0,lower,0.4989449373729842,0.4989449373728115,0.4999999999999779,0.4999999999999817
1.0,upper,0.49786842322072306,0.49786842322089403,0.49999999999998185,0.4999999999999779
1.03,lower,0.6109045860824314,0.3868272596271805,0.6098493772826645,0.39015062271729506
1.03,upper,0.38572288055882753,0.6098745736036685,0.39015062271729534,0.6098493772826642
1.06,lower,0.7002475052874377,0.29727034345010667,0.6981153633934535,0.301884636606506
1.06,upper,0.2961904377495366,0.6993224864279028,0.30188463660650616,0.6981153633934535
1.0899999999999999,lower,0.7660892554778213,0.23118718924896117,0.7638079311800893,0.23619206881987007
1.0899999999999999,upper,0.23015601182749273,0.7652992476904668,0.23619206881987018,0.7638079311800897
1.1199999999999999,lower,0.8132112236819142,0.18381539482333903,0.8113026075661677,0.1886973924337921
1.1199999999999999,upper,0.18283867916413374,0.8125673137780347,0.1886973924337921,0.8113026075661675
1.15,lower,0.8469605642045042,0.14981696301333872,0.8456389599106021,0.15436104008935725
1.15,upper,0.14889173207623674,0.8464647073169822,0.1543610400893574,0.8456389599106023
1.18,lower,0.8714988952728419,0.12503373978474197,0.8708165358345535,0.12918346416540605
1.18,upper,0.12415398006293643,0.8711495821733792,0.12918346416540605,0.8708165358345535
