x,y,pinn_state_1,pinn_state_2,pinn_state_3,pinn_state_4
0.0,0.0,-0.0,-0.0,-0.0,0.0
0.0,0.011235955056179775,-0.0,-0.0,-0.0,0.0
0.0,0.02247191011235955,-0.0,-0.0,-0.0,0.0
0.0,0.033707865168539325,-0.0,-0.0,-0.0,0.0
0.0,0.0449438202247191,0.0,0.0,-0.0,0.0
0.0,0.056179775280898875,-0.0,-0.0,-0.0,0.0
0.0,0.06741573033707865,-0.0,-0.0,-0.0,0.0
0.0,0.07865168539325842,-0.0,-0.0,-0.0,0.0
0.0,0.0898876404494382,-0.0,-0.0,-0.0,0.0
0.0,0.10112359550561797,-0.0,-0.0,-0.0,0.0
0.0,0.11235955056179775,-0.0,-0.0,-0.0,0.0
0.0,0.12359550561797752,-0.0,-0.0,-0.0,0.0
0.0,0.1348314606741573,-0.0,-0.0,-0.0,0.0
0.0,0.14606741573033707,-0.0,-0.0,-0.0,0.0
0.0,0.15730337078651685,-0.0,-0.0,-0.0,0.0
0.0,0.16853932584269662,-0.0,-0.0,-0.0,0.0
0.0,0.1797752808988764,-0.0,-0.0,-0.0,0.0
0.0,0.19101123595505617,-0.0,-0.0,-0.0,0.0
0.0,0.20224719101123595,-0.0,-0.0,-0.0,0.0
0.0,0.21348314606741572,-0.0,-0.0,-0.0,0.0
0.0,0.2247191011235955,-0.0,-0.0,-0.0,0.0
0.0,0.23595505617977527,0.0,-0.0,-0.0,0.0
0.0,0.24719101123595505,0.0,-0.0,-0.0,0.0
0.0,0.2584269662921348,0.0,-0.0,-0.0,0.0
0.0,0.2696629213483146,0.0,0.0,-0.0,0.0
0.0,0.2808988764044944,-0.0,-0.0,-0.0,0.0
0.0,0.29213483146067415,-0.0,-0.0,-0.0,0.0
0.0,0.3033707865168539,0.0,0.0,-0.0,0.0
0.0,0.3146067415730337,-0.0,-0.0,-0.0,0.0
0.0,0.3258426966292135,-0.0,-0.0,-0.0,0.0
0.0,0.33707865168539325,0.0,0.0,-0.0,0.0
