x,y,pinn_state_1,pinn_state_2,pinn_state_3,pinn_state_4
0,0,0,0,0,0
0.0112359550562,0,0,0,0,0
0.0224719101124,0,0,0,0,0
0.0337078651685,0,0,0,0,0
0.0449438202247,0,0,0,0,0
0.0561797752809,0,0,0,0,0
0.0674157303371,0,0,0,0,0
0.0786516853933,0,0,0,0,0
0.0898876404494,0,0,0,0,0
0.101123595506,0,0,0,0,0
0.112359550562,0,-0,-0,0,0
0.123595505618,0,-0,-0,0,0
0.134831460674,0,-0,-0,0,0
0.14606741573,0,-0,-0,0,0
0.157303370787,0,-0,-0,0,0
0.168539325843,0,-0,-0,0,0
0.179775280899,0,-0,-0,0,0
0.191011235955,0,-0,-0,0,0
0.202247191011,0,-0,-0,0,0
0.213483146067,0,-0,-0,0,0
0.224719101124,0,-0,-0,0,0
0.23595505618,0,-0,-0,0,0
0.247191011236,0,-0,-0,0,0
0.258426966292,0,-0,-0,0,0
0.269662921348,0,-0,-0,0,0
0.280898876404,0,-0,-0,0,0
0.292134831461,0,-0,-0,0,0
0.303370786517,0,-0,-0,0,0
0.314606741573,0,-0,-0,0,0
0.325842696629,0,-0,-0,0,0
0.337078651685,0,-0,-0,0,0
0.348314606742,0,-0,-0,0,0
0.359550561798,0,-0,-0,0,0
0.370786516854,0,-0,-0,0,0
0.38202247191,0,-0,-0,0,0
0.393258426966,0,-0,-0,0,0
0.404494382022,0,-0,-0,0,0
0.415730337079,0,-0,-0,0,0
0.426966292135,0,-0,-0,0,0
0.438202247191,0,-0,-0,0,0
0.449438202247,0,-0,-0,0,0
0.460674157303,0,-0,-0,0,0
0.47191011236,0,-0,-0,0,0
0.483146067416,0,-0,-0,0,0
0.494382022472,0,-0,-0,0,0
0.505617977528,0,-0,-0,0,0
0.516853932584,0,-0,-0,0,0
0.52808988764,0,-0,-0,0,0
0.539325842697,0,-0,-0,0,0
0.550561797753,0,-0,-0,0,0
0.561797752809,0,-0,-0,0,0
0.573033707865,0,-0,-0,0,0
0.584269662921,0,-0,-0,0,0
0.595505617978,0,-0,-0,0,0
0.606741573034,0,-0,-0,0,0
0.61797752809,0,-0,-0,0,0
0.629213483146,0,-0,-0,0,0
0.640449438202,0,-0,-0,0,0
