eta,branch,w12_ref,w21_ref,w12_pinn,w21_pinn
0.82,lower,0.05479887513118615,0.9431506572104118,0.056029964565977,0.943944191622469
0.82,upper,0.943026026842137,0.05437494253495638,0.9439406661659018,0.05601290493418736
0.85,lower,0.08042715768395958,0.9175020449716593,0.08328504822236979,0.9167127339387645
0.85,upper,0.9172439759552098,0.07990102194740914,0.9166750032971962,0.0832753651389151
0.8799999999999999,lower,0.11980586966100863,0.8781262424326516,0.12395815478776702,0.8760388040517896
0.8799999999999999,upper,0.8777049205272757,0.11915538701759677,0.875992752077576,0.12395388707831514
0.9099999999999999,lower,0.17957724617470702,0.8183772599375002,0.009275534941256757,0.9760569980287764
0.9099999999999999,upper,0.8177671025382001,0.17878439606440757,0.9810777537556258,0.008207657428420403
0.94,lower,0.26571736020233355,0.7322613764708495,0.022706525183614223,0.9641505797427319
0.94,upper,0.7314549384351188,0.26478208062918357,0.9767333880601059,0.021752911172815317
0.97,lower,0.37696862150711724,0.6210008029715891,0.3789282163750071,0.6210702558359671
0.97,upper,0.6200265149475289,0.37592648650178057,0.6210406866264955,0.37889871865765967
1.0,lower,0.4989449373729842,0.4989449373728115,0.5010103944143769,0.49898931032878857
1.0,upper,0.49786842322072306,0.49786842322089403,0.4989603903433168,0.5009885716083665
1.03,lower,0.6109045860824314,0.3868272596271805,0.6122477842648938,0.3877422955686593
1.03,upper,0.38572288055882753,0.6098745736036685,0.38771489651661284,0.6122461814933334
1.06,lower,0.7002475052874377,0.29727034345010667,0.7009180059077383,0.29907245985574643
1.06,upper,0.2961904377495366,0.6993224864279028,0.2990391903220961,0.7009084273481683
1.0899999999999999,lower,0.7660892554778213,0.23118718924896117,0.0073465873816969925,0.9780924858950494
1.0899999999999999,upper,0.23015601182749273,0.7652992476904668,0.9895224277796986,0.0068065706853471875
1.1199999999999999,lower,0.8132112236819142,0.18381539482333903,0.025312288576675283,0.9590964913460178
1.1199999999999999,upper,0.18283867916413374,0.8125673137780347,0.9741116035234623,0.024661130619476054
1.15,lower,0.8469605642045042,0.14981696301333872,0.8443395448094037,0.15564777690086326
1.15,upper,0.14889173207623674,0.8464647073169822,0.15565772063072983,0.8443252746366515
1.18,lower,0.8714988952728419,0.12503373978474197,0.9593696020604694,0.025082736486763846
1.18,upper,0.12415398006293643,0.8711495821733792,0.02506389023700358,0.9711028734729575
